time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1735	1.34772	5.11856	0.209875	0.152226	radar	7.23314	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3952	1.41451	5.0719	0.223447	0.158008	lidar	1.24364	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6243	1.49606	4.85649	0.242264	0.168327	radar	3.31013	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8393	1.53434	4.8126	0.244092	0.162377	lidar	0.989586	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.111	1.57252	5.00447	0.241709	0.152517	radar	3.15936	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3911	1.62886	5.06886	0.245486	0.148824	lidar	2.04297	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.622	1.67339	4.97408	0.247791	0.144231	radar	0.815171	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8492	1.73771	4.95138	0.256756	0.145871	lidar	0.267022	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1076	1.84223	5.14081	0.276369	0.156904	radar	2.97467	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3499	1.8862	5.11974	0.275141	0.148704	lidar	0.630885	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6083	1.94162	5.22873	0.276016	0.142632	radar	0.946903	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8157	2.04944	5.17051	0.298656	0.156758	lidar	3.55205	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0838	2.18008	5.3589	0.322462	0.171048	radar	5.32449	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2963	2.29825	5.30575	0.345199	0.183966	lidar	3.00196	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.467	2.45841	4.95153	0.385926	0.213306	radar	20.2157	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7179	2.56779	4.99893	0.399622	0.216033	lidar	0.918489	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9384	2.67245	4.96292	0.413533	0.218923	radar	0.260458	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1712	2.81056	5.00031	0.436138	0.229456	lidar	1.06557	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4248	2.91894	5.19445	0.44393	0.225677	radar	1.12216	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6278	3.00511	5.12204	0.449802	0.220777	lidar	1.99534	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8569	3.18883	5.25391	0.483374	0.240943	radar	9.88311	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0769	3.35754	5.27292	0.511353	0.255332	lidar	1.43009	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2858	3.5302	5.13181	0.541623	0.271795	radar	6.16043	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.506	3.70251	5.17033	0.567239	0.282654	lidar	0.947477	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7211	3.80974	5.10504	0.571563	0.273925	radar	2.18691	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.941	3.96109	5.12712	0.588075	0.276477	lidar	0.160864	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1396	4.1024	4.94744	0.604974	0.27995	radar	1.54384	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3379	4.29277	4.99349	0.634322	0.293734	lidar	1.35958	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.552	4.44639	5.05517	0.64768	0.292407	radar	0.571349	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7274	4.61997	5.04039	0.672057	0.301053	lidar	0.988248	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8863	4.78094	4.71735	0.69761	0.31191	radar	4.16058	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0507	5.0024	4.77922	0.735921	0.332139	lidar	2.74189	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2309	5.13057	4.72783	0.742122	0.322955	radar	2.67723	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3834	5.32852	4.74705	0.772537	0.335542	lidar	1.16018	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.552	5.44632	4.63378	0.775935	0.323928	radar	5.29683	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7268	5.61255	4.65241	0.790826	0.32285	lidar	0.188665	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8784	5.78851	4.56103	0.813079	0.328822	radar	1.15719	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0451	6.00705	4.64969	0.841626	0.339667	lidar	1.88599	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1979	6.21824	4.72574	0.8684	0.348185	radar	3.1624	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3231	6.46754	4.79391	0.909683	0.369107	lidar	2.88035	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4591	6.67409	4.75869	0.935443	0.375971	radar	1.2255	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5915	6.84088	4.70902	0.948961	0.371214	lidar	0.505977	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
